Origen,Destino,Distancia (km)
Medellín,Arauca,848.03
Medellín,Barranquilla,706.61
Medellín,Cartagena de Indias,656.66
Medellín,Tunja,436.07
Medellín,Manizales,204.82
Medellín,Florencia,793.46
Medellín,Yopal,624.94
Medellín,Popayán,550.25
Medellín,Valledupar,783.8
Medellín,Quibdó,228.53
Medellín,Montería,411.09
Medellín,Bogotá,401.35
Medellín,San José del Guaviare,797.11
Medellín,Neiva,558.06
Medellín,Riohacha,977.38
Medellín,Santa Marta,851.04
Medellín,Villavicencio,520.07
Medellín,San Juan de Pasto,804.61
Medellín,Cúcuta,603.81
Medellín,Mocoa,876.82
Medellín,Armenia,287.56
Medellín,Pereira,221.62
Medellín,Bucaramanga,408.38
Medellín,Sincelejo,478.1
Medellín,Ibagué,353.61
Medellín,Cali,419.11
Medellín,Puerto Carreño,1369.22
Arauca,Medellín,827.72
Arauca,Barranquilla,1020.25
Arauca,Cartagena de Indias,1062.29
Arauca,Tunja,582.19
Arauca,Manizales,954.38
Arauca,Florencia,1261.53
Arauca,Yopal,366.8
Arauca,Popayán,1291.39
Arauca,Valledupar,913.18
Arauca,Quibdó,1055.67
Arauca,Montería,1054.46
Arauca,Bogotá,747.13
Arauca,San José del Guaviare,910.6
Arauca,Neiva,1026.13
Arauca,Riohacha,1015.45
Arauca,Santa Marta,980.41
Arauca,Villavicencio,628.07
Arauca,San Juan de Pasto,1490.35
Arauca,Cúcuta,390.44
Arauca,Mocoa,1344.88
Arauca,Armenia,993.43
Arauca,Pereira,1028.61
Arauca,Bucaramanga,441.9
Arauca,Sincelejo,939.49
Arauca,Ibagué,913.01
Arauca,Cali,1169.89
Arauca,Puerto Carreño,890.73
Barranquilla,Medellín,706.17
Barranquilla,Arauca,1084.49
Barranquilla,Cartagena de Indias,130.37
Barranquilla,Tunja,856.28
Barranquilla,Manizales,910.4
Barranquilla,Florencia,1416.75
Barranquilla,Yopal,1045.15
Barranquilla,Popayán,1255.84
Barranquilla,Valledupar,294.16
Barranquilla,Quibdó,934.12
Barranquilla,Montería,349.49
Barranquilla,Bogotá,989.62
Barranquilla,San José del Guaviare,1385.38
Barranquilla,Neiva,1181.35
Barranquilla,Riohacha,263.24
Barranquilla,Santa Marta,100.5
Barranquilla,Villavicencio,1108.34
Barranquilla,San Juan de Pasto,1645.58
Barranquilla,Cúcuta,670.96
Barranquilla,Mocoa,1500.1
Barranquilla,Armenia,1081.04
Barranquilla,Pereira,927.2
Barranquilla,Bucaramanga,644.84
Barranquilla,Sincelejo,234.52
Barranquilla,Ibagué,991.31
Barranquilla,Cali,1124.69
Barranquilla,Puerto Carreño,1707.82
Cartagena de Indias,Medellín,653.58
Cartagena de Indias,Arauca,1126.96
Cartagena de Indias,Barranquilla,130.18
Cartagena de Indias,Tunja,898.74
Cartagena de Indias,Manizales,857.81
Cartagena de Indias,Florencia,1459.22
Cartagena de Indias,Yopal,1087.62
Cartagena de Indias,Popayán,1203.25
Cartagena de Indias,Valledupar,360.15
Cartagena de Indias,Quibdó,881.53
Cartagena de Indias,Montería,296.9
Cartagena de Indias,Bogotá,1032.08
Cartagena de Indias,San José del Guaviare,1427.84
Cartagena de Indias,Neiva,1223.82
Cartagena de Indias,Riohacha,391.83
Cartagena de Indias,Santa Marta,229.09
Cartagena de Indias,Villavicencio,1150.81
Cartagena de Indias,San Juan de Pasto,1688.04
Cartagena de Indias,Cúcuta,713.43
Cartagena de Indias,Mocoa,1542.57
Cartagena de Indias,Armenia,940.55
Cartagena de Indias,Pereira,874.61
Cartagena de Indias,Bucaramanga,687.31
Cartagena de Indias,Sincelejo,181.93
Cartagena de Indias,Ibagué,1033.78
Cartagena de Indias,Cali,1072.1
Cartagena de Indias,Puerto Carreño,1750.29
Tunja,Medellín,413.75
Tunja,Arauca,582.63
Tunja,Barranquilla,857.97
Tunja,Cartagena de Indias,900.01
Tunja,Manizales,418.06
Tunja,Florencia,684.35
Tunja,Yopal,217.34
Tunja,Popayán,714.21
Tunja,Valledupar,750.89
Tunja,Quibdó,641.7
Tunja,Montería,658.01
Tunja,Bogotá,138.24
Tunja,San José del Guaviare,535.5
Tunja,Neiva,448.95
Tunja,Riohacha,944.46
Tunja,Santa Marta,818.13
Tunja,Villavicencio,258.46
Tunja,San Juan de Pasto,913.17
Tunja,Cúcuta,416.74
Tunja,Mocoa,767.7
Tunja,Armenia,424.45
Tunja,Pereira,459.63
Tunja,Bucaramanga,267.35
Tunja,Sincelejo,777.21
Tunja,Ibagué,344.03
Tunja,Cali,600.91
Tunja,Puerto Carreño,924.31
Manizales,Medellín,205.33
Manizales,Arauca,951.65
Manizales,Barranquilla,910.36
Manizales,Cartagena de Indias,860.41
Manizales,Tunja,418.12
Manizales,Florencia,602.26
Manizales,Yopal,659.56
Manizales,Popayán,388.6
Manizales,Valledupar,887.42
Manizales,Quibdó,274.99
Manizales,Montería,614.85
Manizales,Bogotá,286.18
Manizales,San José del Guaviare,676.45
Manizales,Neiva,366.86
Manizales,Riohacha,1081.0
Manizales,Santa Marta,954.66
Manizales,Villavicencio,399.41
